BUSINESS,CATEGORY,CATEGORY_ATTRIBUTE
Automotive,Decorative Graphics,Exterior-Product_Delivery
Automotive,Decorative Lighting ALL,Lighting-Product_Type
Automotive,Diesel Additives,PerfChem-PkgSize
Automotive,Electric Cooling Fans,Cooling Fitment Type
Automotive,Electric Cooling Fans,Cooling Manufacturing Type
Automotive,Electrical Wire ALL,Electrical-Pack_Type
Automotive,Engine Gaskets,Gaskets - Type
Automotive,Engine Management / Vehicle Sensors,O2-Application
Automotive,Engine Management / Vehicle Sensors,O2-Type
Automotive,Fan Clutches & Blades,Cooling Fan Clutch Type
Automotive,Fuel Additives,PerfChem-ProdType
Automotive,Fuel Hoses / Lines / Fittings,Fuel System - Hose Diameter
Automotive,Fuel Injection,Fuel System - Injection Type
Automotive,Fuel Pumps,Fuel System - Pump Assembly Type
Automotive,Fuel Pumps,Fuel System - Pump Strainer
Automotive,Fuel Tanks & Components,Fuel System - Cap Type
Automotive,Gear Lubes,Greases-Grade
Automotive,Glass Care,AppChem-Ceramic
Automotive,Greases ALL,Greases-Product_Type
Automotive,HDMO,BRAZIL - Motor Oil Pkg Size
Automotive,HVAC Blowers,Climate Blower Wheel
Automotive,Hand Cleaners ALL,HandCare-Conditioners
Automotive,Hand Cleaners ALL,HandCare-FormulaType
Automotive,Hand Cleaners ALL,HandCare-GritType
Automotive,Hand Cleaners ALL,HandCare-PackSize
Automotive,Hand Cleaners ALL,HandCare-PackType
Automotive,Hand Cleaners ALL,HandCare-Type
Automotive,Hand Cleaners ALL,HandCare-UseWithDispenser
Automotive,Hanging Air Fresheners,Air Freshener Scent
Automotive,Hanging Air Fresheners,Novelty
Automotive,Headlights / Forward Lighting,Lighting-Product_Grade
Automotive,Headlights / Forward Lighting,Lighting-UnitsPerPack
Automotive,Hidden / Other Air Fresheners,AirFreshener-Product_Type
Automotive,Hose Clamps,Cooling Hose Clamp Material
Automotive,Hose Clamps,Cooling Hose Clamp Size
Automotive,Interior - Flooring,FloorMat-Material
Automotive,Interior - Flooring,IntAcc-Image
Automotive,Interior - Flooring,IntAcc-License_Category
Automotive,Interior - Flooring,IntAcc-Pieces
Automotive,Interior - Flooring,IntAcc-Primary_Color
Automotive,Interior - Flooring,IntAcc-Product_Type
Automotive,Interior - Steering,IntAcc-Product_Design
Automotive,License Plate Accessories,ExtAcc-Primary_Color
Automotive,License Plate Accessories,ExtAcc-Primary_Material
Automotive,License Plate Accessories,ExtAcc-Product_Design
Automotive,Lift Supports ALL,Suspension - Lift Support Position
Automotive,Miscellaneous Exhaust,Exhaust - Clamp Size
Automotive,Miscellaneous Exhaust,Exhaust - Clamp Type
Automotive,Miscellaneous Exhaust,Exhaust - Pipe Adapter
Automotive,Mufflers ALL,Exhaust - Grade
Automotive,Non-Automotive Batteries,NA Battery Pack Size
Automotive,PCMO,Motor Oil Formulation
Automotive,PCMO,Motor Oil Premium
Automotive,PCMO,MotorOil-Product_Type
Automotive,Performance / Dress-Up Exhaust,Exhaust - Finish
Automotive,Power Steering Hoses / Lines / Fittings,Rack Type
Automotive,Power Steering Hoses / Lines / Fittings,Steering - Hose Type
Automotive,Power Steering Hoses / Lines / Fittings,Steering - Pump Assembly T1
Automotive,Power Steering Hoses / Lines / Fittings,Tierod Placement
Automotive,Power Steering Pumps / Cylinders / Control Valves,Steering - Manufacturing Type
Automotive,Power Steering Pumps / Cylinders / Control Valves,Steering - Pump Assembly T2
Automotive,Premium Spark Plugs,SparkPlug-SubBrands
Automotive,Protectants ALL,AppChem-Product_Use
Automotive,Protectants ALL,AppChem-Scent
Automotive,Rack & Pinion,Steering - Rack & Pinion Type
Automotive,Rack & Pinion,Steering - Tie Rod Pos-1
Automotive,Radiators ALL,Cooling Radiator Cap Type
Automotive,Replacement Tires,Pure Size
Automotive,Replacement Tires,Tire Aspect Ratio Height
Automotive,Replacement Tires,Tire Diameter
Automotive,Replacement Tires,Tire Load Index
Automotive,Replacement Tires,Tire Load Range Ply Rating
Automotive,Replacement Tires,Tire Run Flat
Automotive,Replacement Tires,Tire Seasonality
Automotive,Replacement Tires,Tire Speed Rating
Automotive,Replacement Tires,Tire Type
Automotive,Replacement Tires,Tire Type OLD
Automotive,Replacement Tires,Tire Vehicle Class
Automotive,Replacement Tires,Tire Width
Automotive,Replacement Tires,Tire XL Designation
Automotive,Sealants,Sealants-Packaging
Automotive,Seats ALL,IntAcc-Primary_Material
Automotive,Seats ALL,SeatCover-Cover_Type
Automotive,Seats ALL,SeatCushion-Cooling
Automotive,Seats ALL,SeatCushion-Cushion_Type
Automotive,Spray Air Fresheners,AirFreshener-Product_Delivery
Automotive,Steering - Linkage,Steering - Grade
Automotive,Steering - Linkage,Steering - Tie Rod Pos-2
Automotive,Steering - Linkage,Steering - Tie Rod Pos-3
Automotive,Steering - Stabilizing,Steering - Dampers/Stabilizers
Automotive,Sun Protection,IntAcc-Shade_Type
Automotive,Suspension - General,Suspension - Grade #1
Automotive,Suspension - General,Suspension - Position # 1
Automotive,Suspension - General,Suspension - Position # 2
Automotive,Suspension - Ride Control,Suspension - Grade #2
Automotive,Suspension - Ride Control,Suspension - Shock/Strut Tube Type
Automotive,Suspension - Specialty,Suspension - Lowering & Lift Kit Type
Automotive,Thermostats,Cooling Finish Type
Automotive,Timing Components,Engine - Grade
Automotive,Tire Care,AppChem-Graphene
Automotive,Tire Tools / Accessories,TW-Product_Type
Automotive,Un-Classified Batteries ALL,Battery New/Used
Automotive,Un-Classified Wipers ALL,Wiper Blade Length
Automotive,Wheel Care / Cleaner ALL,AppChem-Cleaner_Type
Automotive,Wheels,WheelBoltPattern
Automotive,Wheels,WheelFinish
Automotive,Wiper Blades - Beam,Wipers-Sub-Brand
Beauty,EU SKINCARE,Acne Benefit
Beauty,EU SKINCARE,Alphabet Creams
Beauty,EU SKINCARE,Brightening
Beauty,EU SKINCARE,Hair Color Type
Beauty,EU SKINCARE,Hair Heat Protectant
Beauty,EU SKINCARE,Hair Primary Benefit
Beauty,EU SKINCARE,Hair Set Segment
Beauty,EU SKINCARE,Hair Size ml
Beauty,EU SKINCARE,Hair Styling Hold
